Loaded file for Distance with 1 dimensions and 674 records averaging 3114.81
Loaded file for Weight with 1 dimensions and 266 records averaging 199.4
Frames merged
Values sorted
           Date  Weight   Distance
199  2018-01-01   216.2   3168.451
653  2017-12-31     NaN  11014.479
200  2017-12-30   209.5   3604.510
654  2017-12-29     NaN   4743.290
655  2017-12-28     NaN  10599.297
656  2017-12-27     NaN  12566.107
657  2017-12-26     NaN  13621.865
658  2017-12-25     NaN   5309.541
659  2017-12-24     NaN   5610.539
660  2017-12-23     NaN   7278.870
661  2017-12-22     NaN   9494.521
662  2017-12-21     NaN  11598.367
663  2017-12-20     NaN  11879.744
664  2017-12-19     NaN  11182.828
201  2017-12-18   203.1  13864.051
665  2017-12-17     NaN   9752.221
666  2017-12-16     NaN   7331.582
667  2017-12-15     NaN   6474.602
668  2017-12-14     NaN  15514.111
669  2017-12-13     NaN  10390.888
670  2017-12-12     NaN  17880.668
202  2017-12-11   202.8  12653.203
671  2017-12-10     NaN  12230.047
672  2017-12-09     NaN  15484.648
673  2017-12-08     NaN   8522.763
674  2017-12-07     NaN  10870.780
675  2017-12-06     NaN   9884.079
676  2017-12-05     NaN  16288.481
203  2017-12-04   210.2  10270.629
677  2017-12-03     NaN   4867.530
678  2017-12-02     NaN    520.590
679  2017-12-01     NaN   2554.680
680  2017-11-30     NaN  14502.560
681  2017-11-29     NaN  15474.210
682  2017-11-28     NaN  10097.146
205  2017-11-27   209.0  10266.792
204  2017-11-27   209.3  10266.792
683  2017-11-26     NaN   2088.990
684  2017-11-25     NaN   4528.151
685  2017-11-24     NaN   3920.460
686  2017-11-23     NaN   1805.850
687  2017-11-22     NaN   4786.068
688  2017-11-21     NaN   8363.200
206  2017-11-20   203.0  12372.179
689  2017-11-19     NaN   2999.310
690  2017-11-18     NaN   4102.820
691  2017-11-17     NaN   2124.450
207  2017-11-16   198.8   9940.832
692  2017-11-15     NaN   9928.713
693  2017-11-14     NaN  10600.976
208  2017-11-13   208.0  10122.635
694  2017-11-12     NaN   6092.450
695  2017-11-11     NaN  10115.660
696  2017-11-10     NaN   5056.089
697  2017-11-09     NaN  11918.105
698  2017-11-08     NaN  11860.742
699  2017-11-07     NaN   8888.130
209  2017-11-06   207.3  10364.431
700  2017-11-05     NaN   8936.009
701  2017-11-04     NaN   6281.521
702  2017-11-03     NaN  11798.396
703  2017-11-02     NaN   9526.892
704  2017-11-01     NaN   9858.009
705  2017-10-31     NaN  10266.983
210  2017-10-30   206.8   7444.710
706  2017-10-29     NaN   9438.599
707  2017-10-28     NaN   3272.490
708  2017-10-27     NaN   3023.021
709  2017-10-26     NaN  12762.475
710  2017-10-25     NaN  13402.052
711  2017-10-24     NaN   7682.789
211  2017-10-23   210.3   9668.375
712  2017-10-22     NaN   1065.900
713  2017-10-21     NaN   8308.488
714  2017-10-20     NaN   5985.469
715  2017-10-19     NaN  11032.783
